iter	RMSE
0	14.61707789
1	14.23010492
2	13.87204843
3	13.55418866
4	13.1985856
5	12.85125146
6	12.57514974
7	12.28236626
8	12.01948822
9	11.75218163
10	11.51345253
11	11.28309294
12	11.01799159
13	10.77654849
14	10.53041129
15	10.30933152
16	10.10029937
17	9.897330564
18	9.707085903
19	9.520292546
20	9.332907
21	9.172299475
22	8.99281824
23	8.822538232
24	8.677605067
25	8.524526186
26	8.385278224
27	8.243665979
28	8.114019444
29	7.986713773
30	7.880910296
31	7.768868545
32	7.666719675
33	7.561722363
34	7.465133369
35	7.370205773
36	7.27563627
37	7.192916639
38	7.115014173
39	7.038312567
40	6.956931328
41	6.879902146
42	6.806532832
43	6.746791938
44	6.684427175
45	6.626932542
46	6.56644894
47	6.52350486
48	6.470018155
49	6.417194162
50	6.367805003
51	6.320582196
52	6.269927738
53	6.232449724
54	6.192098289
55	6.15312448
56	6.113499619
57	6.079045274
58	6.046031129
59	6.016783737
60	5.990195819
61	5.962463604
62	5.934607066
63	5.908895873
64	5.885345316
65	5.860395386
66	5.838607985
67	5.811640963
68	5.788115623
69	5.764504698
70	5.745916478
71	5.72694025
72	5.706952853
73	5.693458548
74	5.673624935
75	5.656518427
76	5.642566644
77	5.628036262
78	5.610460092
79	5.597342844
80	5.582851272
81	5.569860385
82	5.556181596
83	5.542202197
84	5.530573202
85	5.519327094
86	5.507372201
87	5.497670568
88	5.489001593
89	5.479790097
90	5.47320855
91	5.466429029
92	5.458171489
93	5.447648504
94	5.437677992
95	5.42918398
96	5.418549452
97	5.413546501
98	5.405506797
99	5.398604035
100	5.390591683
101	5.383561744
102	5.377393803
103	5.368400168
104	5.358004104
105	5.350451615
106	5.343755627
107	5.339655086
108	5.330546215
109	5.325613844
110	5.320289701
111	5.313739802
112	5.309974522
113	5.304805976
114	5.300511532
115	5.294776286
116	5.287415818
117	5.279143128
118	5.275662395
119	5.268149418
120	5.262785259
121	5.259098282
122	5.253259323
123	5.25080388
124	5.246702785
125	5.241227441
126	5.238430635
127	5.232463062
128	5.226119474
129	5.221797237
130	5.216775716
131	5.212220841
132	5.209153395
133	5.207312912
134	5.200757246
135	5.197078713
136	5.191987439
137	5.18608639
138	5.182612204
139	5.180029399
140	5.176996781
141	5.172737752
142	5.166503876
143	5.162300887
144	5.160240281
145	5.157335209
146	5.156069682
147	5.153964906
148	5.151074137
149	5.150185298
150	5.146434279
151	5.143011193
152	5.136919897
153	5.133658855
154	5.12998326
155	5.125818564
156	5.122806157
157	5.120770888
158	5.117565306
159	5.111908563
160	5.105275133
161	5.101289799
162	5.098275521
163	5.095616243
164	5.093605994
165	5.092920592
166	5.091378765
167	5.088453733
168	5.08812929
169	5.087649881
170	5.085970322
171	5.083270411
172	5.079130579
173	5.07430597
174	5.072405665
175	5.070429553
176	5.066957206
177	5.062706439
178	5.057599286
179	5.054350175
180	5.051668659
181	5.049384697
182	5.045534061
183	5.043667883
184	5.040029697
185	5.037689644
186	5.031433324
187	5.024299669
188	5.022565662
189	5.018861329
190	5.017169026
191	5.015400461
192	5.012346683
193	5.008887078
194	5.006583256
195	5.002624734
196	4.9997245
197	4.995887681
198	4.990738108
199	4.987794915
200	4.984446273
201	4.979153523
202	4.973027787
203	4.971311415
204	4.970365669
205	4.967865244
206	4.965501677
207	4.962328558
208	4.958073189
209	4.956355982
210	4.951900962
211	4.950467442
212	4.94898352
213	4.945912668
214	4.942173244
215	4.941623492
216	4.939001526
217	4.93706297
218	4.935797834
219	4.932850985
220	4.929526101
221	4.928935139
222	4.928560494
223	4.924704117
224	4.924318252
225	4.920673149
226	4.92030189
227	4.915819735
228	4.913347902
229	4.909535358
230	4.908925937
231	4.906354447
232	4.902956681
233	4.902392072
234	4.900387276
235	4.897034051
236	4.895583593
237	4.893521962
238	4.888174577
239	4.88485815
240	4.883259571
241	4.88111363
242	4.877612133
243	4.874579374
244	4.87420568
245	4.873534965
246	4.871052717
247	4.863606914
248	4.861316815
249	4.860813239
250	4.859227599
251	4.858787859
252	4.858346937
253	4.854539759
254	4.85219599
255	4.848759273
256	4.84535226
257	4.842884283
258	4.835942701
259	4.835843331
260	4.829378686
261	4.827427251
262	4.82677259
263	4.82447153
264	4.821501661
265	4.818495698
266	4.817877764
267	4.809825186
268	4.807921885
269	4.806065308
270	4.799742537
271	4.797854915
272	4.79512263
273	4.790163348
274	4.78921101
275	4.784463961
276	4.778973812
277	4.775396651
278	4.77288481
279	4.767325231
280	4.763403331
281	4.763183266
282	4.759939653
283	4.757075792
284	4.755534954
285	4.752084104
286	4.75154054
287	4.748116878
288	4.747922688
289	4.743300007
290	4.737524569
291	4.737283974
292	4.734037273
293	4.733069473
294	4.73261918
295	4.730292201
296	4.726632968
297	4.722276334
298	4.721321993
299	4.718930011
300	4.71874527
301	4.716327888
302	4.714470634
303	4.714321636
304	4.713367863
305	4.712915438
306	4.710726261
307	4.705634453
308	4.700591518
309	4.697937808
310	4.694211972
311	4.694069903
312	4.693109809
313	4.688252413
314	4.68708207
315	4.68417119
316	4.679242431
317	4.673756059
318	4.672263302
319	4.669236508
320	4.662701355
321	4.65963044
322	4.654150545
323	4.651394656
324	4.648719352
325	4.646425682
326	4.642532147
327	4.640105311
328	4.637109406
329	4.632699002
330	4.628197898
331	4.625862476
332	4.624199655
333	4.622012489
334	4.619502542
335	4.614983022
336	4.613180069
337	4.611372106
338	4.607340495
339	4.605522298
340	4.600459756
341	4.59843639
342	4.595198577
343	4.59040982
344	4.585914414
345	4.582378272
346	4.577783837
347	4.575775212
348	4.571100086
349	4.567155417
350	4.564471197
351	4.559213382
352	4.558763425
353	4.556702883
354	4.554028992
355	4.549878828
356	4.548019787
357	4.545821369
358	4.542653998
359	4.541758943
360	4.539652276
361	4.535505922
362	4.532333111
363	4.52788391
364	4.524396543
365	4.521717312
366	4.521229883
367	4.518872046
368	4.518143325
369	4.515699994
370	4.512830722
371	4.509223033
372	4.507958402
373	4.506332673
374	4.506250516
375	4.502141598
376	4.501586264
377	4.499297193
378	4.497376292
379	4.496223115
380	4.495917236
381	4.493990588
382	4.488829471
383	4.485510607
384	4.480968612
385	4.480866349
386	4.476284945
387	4.473568087
388	4.473462014
389	4.471473217
390	4.471273795
391	4.470658001
392	4.469629573
393	4.467811877
394	4.465655788
395	4.463268774
396	4.462676473
397	4.459339705
398	4.457596641
399	4.456138288
400	4.451700032
401	4.449901852
402	4.446356557
403	4.444224283
404	4.439715543
405	4.437435377
406	4.434116625
407	4.431369496
408	4.429160814
409	4.425986333
410	4.423445333
411	4.417620376
412	4.417420301
413	4.416278805
414	4.413450784
415	4.41216228
416	4.411033435
417	4.407683188
418	4.405383046
419	4.403497955
420	4.401883679
421	4.398939207
422	4.394810648
423	4.389502563
424	4.386297137
425	4.384479832
426	4.381824761
427	4.378765936
428	4.375205474
429	4.369237962
430	4.369073202
431	4.363360309
432	4.360969012
433	4.357062848
434	4.354159954
435	4.35306654
436	4.351659036
437	4.346982712
438	4.346810154
439	4.34607869
440	4.345119242
441	4.341415968
442	4.33700661
443	4.334791679
444	4.330528303
445	4.327057572
446	4.322404511
447	4.320872581
448	4.316020356
449	4.312510488
450	4.311689587
451	4.311407236
452	4.309714689
453	4.306234334
454	4.305339864
455	4.303518502
456	4.299504425
457	4.297029049
458	4.296943249
459	4.296123785
460	4.294205265
461	4.292050625
462	4.287935591
463	4.287755252
464	4.286553923
465	4.283628762
466	4.283516223
467	4.27988753
468	4.27941115
469	4.276254841
470	4.275263151
471	4.274324646
472	4.27118365
473	4.267405833
474	4.264205024
475	4.259217775
476	4.255974391
477	4.255765355
478	4.250344669
479	4.2486275
480	4.246702825
481	4.246371235
482	4.244530847
483	4.24334846
484	4.240918153
485	4.237202315
486	4.235873855
487	4.235536593
488	4.233988415
489	4.233619625
490	4.233050403
491	4.229436345
492	4.227038412
493	4.223386082
494	4.221442299
495	4.218353967
496	4.217094157
497	4.214718595
498	4.2126617
499	4.212521625
