iter	Passed	Remaining
0	2	207
1	4	201
2	6	212
3	8	206
4	10	205
5	12	197
6	14	194
7	15	182
8	17	180
9	19	176
10	22	178
11	24	177
12	26	174
13	27	169
14	29	166
15	31	164
16	33	162
17	35	160
18	37	158
19	39	157
20	40	153
21	42	151
22	44	148
23	45	145
24	47	143
25	49	140
26	51	139
27	53	136
28	54	134
29	56	131
30	57	128
31	59	126
32	61	124
33	62	122
34	64	119
35	66	118
36	67	115
37	69	113
38	71	112
39	73	110
40	75	108
41	76	106
42	78	103
43	79	101
44	81	99
45	83	97
46	84	94
47	85	92
48	87	90
49	88	88
50	90	86
51	91	84
52	93	82
53	95	81
54	96	79
55	98	77
56	100	75
57	101	73
58	103	71
59	105	70
60	106	68
61	108	66
62	109	64
63	111	62
64	113	61
65	114	59
66	115	57
67	117	55
68	119	53
69	120	51
70	122	49
71	123	48
72	124	46
73	126	44
74	128	42
75	130	41
76	131	39
77	133	37
78	135	36
79	137	34
80	138	32
81	140	30
82	141	29
83	143	27
84	145	25
85	147	23
86	149	22
87	150	20
88	151	18
89	153	17
90	154	15
91	155	13
92	157	11
93	158	10
94	160	8
95	162	6
96	164	5
97	165	3
98	167	1
99	168	0
